efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
4FJXV02.5JHM,19506,7,1,-1,-1,L1,LEV
4FJXV02.5JHM,19507,3,1,-1,-1,B9,BIN 9
4FJXV02.5JHM,19507,7,1,-1,-1,L1,LEV
4FJXV02.5RGV,19508,3,1,-1,-1,B10,BIN 10
4FJXV02.5RGV,19508,7,1,-1,-1,L1,LEV
4TYXV03.3PEA,19509,3,5,-1,-1,B5,BIN 5
4TYXV03.3PEA,19509,7,6,-1,1,U2,ULEV II
4TYXV01.8VMC,19510,3,1,-1,-1,B9,BIN 9
4TYXV01.8VMC,19510,7,1,-1,-1,L1,LEV
4TYXV01.8VMC,19511,3,1,-1,-1,B9,BIN 9
4TYXV01.8VMC,19511,7,1,-1,-1,L1,LEV
4TYXV01.8VRE,19512,3,1,-1,-1,B10,BIN 10
4TYXV01.8VRE,19512,7,1,-1,-1,L1,LEV
4TYXV01.8VRF,19513,3,1,-1,-1,B10,BIN 10
4TYXV01.8VRF,19513,7,1,-1,-1,L1,LEV
4TYXV01.5VMA,19514,3,1,-1,-1,B9,BIN 9
4TYXV01.5VMA,19514,7,1,-1,-1,L1,LEV
4TYXV01.5VMA,19515,3,1,-1,-1,B9,BIN 9
4TYXV01.5VMA,19515,7,1,-1,-1,L1,LEV
4ADXV01.8346,19516,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19516,7,1,-1,-1,L1,LEV
4ADXV01.8346,19517,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19517,7,1,-1,-1,L1,LEV
4ADXV01.8346,19518,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19518,7,1,-1,-1,L1,LEV
4VWXV01.9233,19519,3,1,-1,-1,B9,BIN 9
4VWXV01.9236,19520,3,1,-1,-1,B10,BIN 10
4VWXV02.0223,19521,3,5,-1,1,B5,BIN 5
4VWXV02.0223,19521,7,5,-1,1,L2,LEV II
4VWXV02.0223,19522,3,5,-1,1,B5,BIN 5
4VWXV02.0223,19522,7,5,-1,1,L2,LEV II
4VWXV03.2220,19523,3,1,-1,-1,B9,BIN 9
4VWXV03.2220,19523,7,1,-1,-1,L1,LEV
4VVXV2.52L1T,19524,3,1,-1,-1,B9,BIN 9
4VVXV2.52L1T,19524,7,1,-1,-1,L1,LEV
4VVXV2.52L1T,19525,3,1,-1,-1,B9,BIN 9
4VVXV2.52L1T,19525,7,1,-1,-1,L1,LEV
4VVXV2.52L1T,19526,3,1,-1,-1,B9,BIN 9
4VVXV2.52L1T,19526,7,1,-1,-1,L1,LEV
4HNXV02.4AKC,19527,3,5,-1,-1,B5,BIN 5
4HNXV02.4AKC,19527,7,5,-1,-1,L2,LEV II
4HNXV02.4AKC,19528,3,5,-1,1,B5,BIN 5
4HNXV02.4AKC,19528,7,5,-1,1,L2,LEV II
4ADXV01.8342,19529,1,2,-1,-1,B8,BIN 8
4ADXV01.8342,19530,1,2,-1,-1,B8,BIN 8
4ADXV03.0344,19531,3,1,-1,-1,B9,BIN 9
4ADXV03.0344,19531,7,2,-1,-1,U1,ULEV
4ADXV01.8342,19532,1,2,-1,-1,B8,BIN 8
4ADXV01.8342,19533,1,2,-1,-1,B8,BIN 8
4ADXV03.0344,19534,3,1,-1,-1,B9,BIN 9
4ADXV03.0344,19534,7,2,-1,-1,U1,ULEV
4ADXV03.0344,19535,3,1,-1,-1,B9,BIN 9
4ADXV03.0344,19535,7,2,-1,-1,U1,ULEV
4ADXV04.2345,19536,3,1,-1,-1,B9,BIN 9
4ADXV04.2345,19536,7,1,-1,-1,L1,LEV
4ADXV04.2345,19537,3,1,-1,-1,B9,BIN 9
4ADXV04.2345,19537,7,1,-1,-1,L1,LEV
4BEXV06.0501,19538,3,1,-1,-1,B9,BIN 9
4BEXV06.0501,19538,7,1,-1,-1,L1,LEV
4BMXX03.0UL2,19539,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19539,7,6,-1,1,U2,ULEV II
4BMXV02.5M56,19540,3,5,-1,-1,B5,BIN 5
4BMXV02.5M56,19540,7,9,-1,1,S2,LEV-II SULEV
4BMXX03.0UL2,19540,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19540,7,6,-1,1,U2,ULEV II
4BMXV03.0SMG,19541,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19541,7,2,-1,-1,U1,ULEV
4BMXV03.0LER,19542,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19542,7,1,-1,-1,L1,LEV
4BMXV03.0LER,19543,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19543,7,1,-1,-1,L1,LEV
4BMXX03.0UL2,19544,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19544,7,6,-1,1,U2,ULEV II
4BMXX03.0UL2,19545,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19545,7,6,-1,1,U2,ULEV II
4BMXV03.0SMG,19546,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19546,7,2,-1,-1,U1,ULEV
4BMXV03.0LER,19547,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19547,7,1,-1,-1,L1,LEV
